pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
23.0,-87.25,0.0,top,TP1,,TestPoint_Pad_4.0x4.0mm,V+,tht,True
23.0,-97.75,180.0,bottom,TP2,,TestPoint_Pad_4.0x4.0mm,V-,tht,True
317.0,-87.0,0.0,top,TP3,,TestPoint_Pad_4.0x4.0mm,V+,tht,True
317.25,-97.5,180.0,bottom,TP4,,TestPoint_Pad_4.0x4.0mm,V-,tht,True
