Designator,Mid X,Mid Y,Rotation,Layer
R60,76.645,-148.595,180.0,top
R61,73.445,-147.595,180.0,top
R62,76.645,-145.195,0.0,top
R7,151.366,-150.1905,90.0,top
R8,149.866,-96.478,0.0,top
R9,149.866,-94.978,0.0,top
RN1,78.866,-104.478,90.0,top
RN2,93.116,-111.978,270.0,top
RN3,78.616,-113.728,0.0,top
RN4,73.616,-113.728,0.0,top
RN5,68.116,-117.728,180.0,top
RN6,73.366,-128.228,270.0,top
RV1,100.266,-141.378,90.0,top
RV2,64.445,-147.295,90.0,top
SW1,128.666,-100.928,0.0,top
SW2,128.616,-109.628,0.0,top
SW3,158.366,-86.378,270.0,top
TP10,61.766,-85.478,0.0,top
TP11,61.866,-95.478,0.0,top
TP12,53.166,-111.978,0.0,top
TP18,126.616,-139.978,0.0,top
TP22,132.366,-139.978,0.0,top
TP28,138.116,-139.978,0.0,top
TP30,144.116,-139.978,0.0,top
TP31,110.766,-150.478,0.0,top
TP32,116.766,-150.378,0.0,top
TP33,82.116,-150.478,0.0,top
TP34,90.616,-150.478,0.0,top
TP35,82.166,-144.378,0.0,top
TP36,122.966,-150.578,0.0,top
TP37,128.866,-150.728,0.0,top
TP43,48.045,-151.195,0.0,top
TP47,52.545,-151.195,0.0,top
TP48,57.045,-151.195,0.0,top
TP8,58.066,-74.578,0.0,top
TP9,98.616,-150.478,90.0,top
U1,147.366,-101.478,270.0,top
U10,107.2535,-115.903,270.0,top
U11,90.2785,-122.453,270.0,top
U12,107.5035,-136.203,270.0,top
U13,85.0035,-133.453,270.0,top
U14,68.845,-136.395,270.0,top
U15,98.121,-93.578,180.0,top
U16,122.9985,-130.533,0.0,top
U17,85.845,-106.795,270.0,top
U18,86.345,-112.095,270.0,top
U19,73.545,-120.295,180.0,top
U2,149.216,-120.278,0.0,top
U20,63.345,-125.095,270.0,top
U21,71.645,-144.995,270.0,top
U3,144.366,-83.128,0.0,top
U4,143.866,-114.478,270.0,top
U5,68.866,-103.628,90.0,top
